year,state,office,district,stage,forecast_final,actual_result,forecast_error
2020,MN,State House,66B,general,0.83,0.79,0.04
2020,IN,State House,91,general,0.38,0.31,0.06
2020,CT,State Senate,1,general,0.71,0.72,0
2020,PA,State House,16,general,0.62,0.56,0.06
2020,PA,US House,17,general,0.55,0.51,0.04
2020,MI,State House,20,general,0.54,0.55,0.01
2020,WI,State House,88,general,0.46,0.48,0.02
2020,IN,State House,39,general,0.42,0.46,0.04
2020,MO,State House,69,general,0.71,0.71,0
2020,GA,State House,179,general,0.41,0.43,0.02
2020,IN,US House,4,general,0.38,0.35,0.03
2020,KY,State House,66,general,0.29,0.25,0.04
2020,PA,State House,58,general,0.41,0.33,0.07
2020,WV,State House,32,general,0.13,0.13,0
2020,MT,State House,96,general,0.51,0.49,0.03
2020,MI,State House,92,general,0.7,0.65,0.05
2020,TX,US House,24,general,0.51,0.47,0.04
2020,CA,State House,68,general,0.47,0.47,0
2020,OH,State House,17,general,0.63,0.56,0.06
2020,CT,State House,143,general,0.53,0.56,0.02
2020,KY,State House,27,general,0.49,0.42,0.08
2020,MI,State House,102,general,0.34,0.3,0.04
2020,CT,State Senate,34,general,0.48,0.45,0.03
2020,FL,State House,40,general,0.41,0.4,0.01
2020,WV,State House,30,general,0.61,0.6,0.01
2020,AZ,US House,3,general,0.65,0.67,0.02
2020,MT,State House,95,general,0.73,0.72,0.01
2020,TX,State House,49,general,0.72,0.79,0.07
2020,NC,State House,111,general,0.45,0.36,0.08
2020,NM,State House,23,general,0.59,0.55,0.04
2020,TN,State House,14,general,0.34,0.35,0.02
2020,CA,US House,1,general,0.48,0.44,0.04
2020,TX,State House,116,general,0.73,0.69,0.03
2020,PA,US House,4,general,0.62,0.56,0.06
2020,ME,State Senate,34,general,0.51,0.52,0.01
2020,CT,State House,8,general,0.39,0.39,0
2020,KY,State House,89,general,0.31,0.29,0.03
2020,IA,State House,42,general,0.54,0.56,0.02
2020,AZ,State House,13,general,0.21,0.26,0.05
2020,WA,US House,7,general,0.81,0.85,0.04
2020,IN,State House,29,general,0.35,0.31,0.03
2020,OH,State House,41,general,0.48,0.43,0.05
2020,MN,State House,44A,general,0.57,0.6,0.03
2020,WV,State House,61,general,0.55,0.58,0.03
2020,AR,US House,2,general,0.49,0.45,0.04
2020,WV,State House,10,general,0.15,0.11,0.04
2020,CT,State House,18,general,0.72,0.73,0.01
2020,MN,State House,65B,general,0.77,0.8,0.03
